window,k,skew,cool,round,day,sample_type,profit
50,1.0,1.5,1000,1,-2,IS,1051
50,1.0,1.5,1000,1,-1,IS,-5
50,1.0,1.5,1000,1,0,IS,188
50,1.0,1.5,1000,2,-1,IS,-5
50,1.0,1.5,1000,2,0,IS,188
50,1.0,1.5,1000,2,1,IS,576
50,1.0,1.5,1000,3,0,IS,188
50,1.0,1.5,1000,3,1,IS,576
50,1.0,1.5,1000,3,2,IS,8
50,1.0,1.5,1000,4,1,OOS,576
50,1.0,1.5,1000,4,2,OOS,8
50,1.0,1.5,1000,4,3,OOS,502
50,1.0,1.5,1000,5,2,OOS,8
50,1.0,1.5,1000,5,3,OOS,502
50,1.0,1.5,1000,5,4,OOS,52
10,2.0,0.8,100,1,-2,IS,259
10,2.0,0.8,100,1,-1,IS,277
10,2.0,0.8,100,1,0,IS,112
10,2.0,0.8,100,2,-1,IS,277
10,2.0,0.8,100,2,0,IS,112
10,2.0,0.8,100,2,1,IS,227
10,2.0,0.8,100,3,0,IS,112
10,2.0,0.8,100,3,1,IS,227
10,2.0,0.8,100,3,2,IS,75
10,2.0,0.8,100,4,1,OOS,227
10,2.0,0.8,100,4,2,OOS,75
10,2.0,0.8,100,4,3,OOS,225
10,2.0,0.8,100,5,2,OOS,75
10,2.0,0.8,100,5,3,OOS,225
10,2.0,0.8,100,5,4,OOS,126
200,1.0,1.5,1000,1,-2,IS,1027
200,1.0,1.5,1000,1,-1,IS,528
200,1.0,1.5,1000,1,0,IS,567
200,1.0,1.5,1000,2,-1,IS,528
200,1.0,1.5,1000,2,0,IS,567
200,1.0,1.5,1000,2,1,IS,78
200,1.0,1.5,1000,3,0,IS,567
200,1.0,1.5,1000,3,1,IS,78
200,1.0,1.5,1000,3,2,IS,1092
200,1.0,1.5,1000,4,1,OOS,78
200,1.0,1.5,1000,4,2,OOS,1092
200,1.0,1.5,1000,4,3,OOS,169
200,1.0,1.5,1000,5,2,OOS,1092
200,1.0,1.5,1000,5,3,OOS,169
200,1.0,1.5,1000,5,4,OOS,1268
100,3.0,1.5,100,1,-2,IS,1041
100,3.0,1.5,100,1,-1,IS,110
100,3.0,1.5,100,1,0,IS,-16
100,3.0,1.5,100,2,-1,IS,110
100,3.0,1.5,100,2,0,IS,-16
100,3.0,1.5,100,2,1,IS,560
100,3.0,1.5,100,3,0,IS,-16
100,3.0,1.5,100,3,1,IS,560
100,3.0,1.5,100,3,2,IS,-168
100,3.0,1.5,100,4,1,OOS,560
100,3.0,1.5,100,4,2,OOS,-168
100,3.0,1.5,100,4,3,OOS,-90
100,3.0,1.5,100,5,2,OOS,-168
100,3.0,1.5,100,5,3,OOS,-90
100,3.0,1.5,100,5,4,OOS,128
100,1.0,0.5,1000,1,-2,IS,1293
100,1.0,0.5,1000,1,-1,IS,-121
100,1.0,0.5,1000,1,0,IS,591
100,1.0,0.5,1000,2,-1,IS,-121
100,1.0,0.5,1000,2,0,IS,591
100,1.0,0.5,1000,2,1,IS,325
100,1.0,0.5,1000,3,0,IS,591
100,1.0,0.5,1000,3,1,IS,325
100,1.0,0.5,1000,3,2,IS,684
100,1.0,0.5,1000,4,1,OOS,325
100,1.0,0.5,1000,4,2,OOS,684
100,1.0,0.5,1000,4,3,OOS,765
100,1.0,0.5,1000,5,2,OOS,684
100,1.0,0.5,1000,5,3,OOS,765
100,1.0,0.5,1000,5,4,OOS,452
100,1.5,1.2,300,1,-2,IS,2059
100,1.5,1.2,300,1,-1,IS,-100
100,1.5,1.2,300,1,0,IS,1110
100,1.5,1.2,300,2,-1,IS,-100
100,1.5,1.2,300,2,0,IS,1110
100,1.5,1.2,300,2,1,IS,906
100,1.5,1.2,300,3,0,IS,1110
100,1.5,1.2,300,3,1,IS,906
100,1.5,1.2,300,3,2,IS,1444
100,1.5,1.2,300,4,1,OOS,906
100,1.5,1.2,300,4,2,OOS,1444
100,1.5,1.2,300,4,3,OOS,1023
100,1.5,1.2,300,5,2,OOS,1444
100,1.5,1.2,300,5,3,OOS,1023
100,1.5,1.2,300,5,4,OOS,956
10,1.5,0.8,1000,1,-2,IS,347
10,1.5,0.8,1000,1,-1,IS,63
10,1.5,0.8,1000,1,0,IS,178
10,1.5,0.8,1000,2,-1,IS,63
10,1.5,0.8,1000,2,0,IS,178
10,1.5,0.8,1000,2,1,IS,244
10,1.5,0.8,1000,3,0,IS,178
10,1.5,0.8,1000,3,1,IS,244
10,1.5,0.8,1000,3,2,IS,-12
10,1.5,0.8,1000,4,1,OOS,244
10,1.5,0.8,1000,4,2,OOS,-12
10,1.5,0.8,1000,4,3,OOS,226
10,1.5,0.8,1000,5,2,OOS,-12
10,1.5,0.8,1000,5,3,OOS,226
10,1.5,0.8,1000,5,4,OOS,154
30,1.0,1.2,700,1,-2,IS,677
30,1.0,1.2,700,1,-1,IS,145
